Time (s),Angle (deg),Torque (Nm),Cycle
3.543571,-27.504875,1.230896,1
3.554604,-27.804890,1.229650,1
3.566113,-28.104905,1.226022,1
3.577394,-28.404920,1.232654,1
3.587540,-28.704935,1.273231,1
3.597983,-29.004950,1.319537,1
3.609014,-29.304965,1.317584,1
3.620055,-29.604980,1.306923,1
3.634090,-29.904995,1.305894,1
3.644566,-30.205010,1.305832,1
3.655512,-30.505025,1.332009,1
3.666553,-30.805040,1.386162,1
3.677518,-31.105055,1.397582,1
3.689260,-31.405070,1.431777,1
3.699814,-31.705085,1.383608,1
3.710516,-32.005100,1.391493,1
3.721509,-32.305115,1.385923,1
3.732616,-32.605130,1.479861,1
3.743521,-32.905145,1.496628,1
3.755637,-33.205160,1.509006,1
3.766674,-33.505175,1.497778,1
3.776955,-33.805190,1.487771,1
3.787881,-34.105205,1.487519,1
3.798930,-34.405220,1.503398,1
3.811731,-34.705235,1.556948,1
3.822106,-34.994750,1.602600,1
3.832893,-34.694735,1.633336,1
3.843868,-34.394720,1.613378,1
3.854043,-34.094705,1.555862,1
3.865094,-33.794690,1.517094,1
3.876288,-33.494675,1.507823,1
3.887394,-33.194660,1.514569,1
3.897995,-32.894645,1.515102,1
3.909020,-32.594630,1.538415,1
3.920003,-32.294615,1.481136,1
3.931090,-31.994600,1.461506,1
3.942194,-31.694585,1.425096,1
3.953946,-31.394570,1.427728,1
3.964789,-31.094555,1.438467,1
3.975217,-30.794540,1.433084,1
3.986235,-30.494525,1.425601,1
3.999804,-30.194510,1.382469,1
4.012890,-29.894495,1.329621,1
4.023341,-29.594480,1.342201,1
4.034246,-29.294465,1.345228,1
4.045260,-28.994450,1.348316,1
4.056260,-28.694435,1.335381,1
4.067424,-28.394420,1.275470,1
4.078554,-28.094405,1.250271,1
4.089293,-27.794390,1.278591,1
4.100291,-27.494375,1.278106,1
4.110797,-27.194360,1.256871,1
4.121279,-26.894345,1.259215,1
4.132760,-26.594330,1.238008,1
4.143695,-26.294315,1.189686,1
4.154259,-25.994300,1.170598,1
4.165257,-25.694285,1.177119,1
4.176224,-25.394270,1.169017,1
4.187599,-25.094255,1.197842,1
4.198657,-24.794240,1.151041,1
4.209848,-24.494225,1.133449,1
4.220282,-24.194210,1.105460,1
4.231312,-23.894195,1.061484,1
4.242259,-23.594180,1.078753,1
4.254683,-23.294165,1.102165,1
4.265612,-22.994150,1.100525,1
4.276297,-22.694135,1.054781,1
4.287306,-22.394120,1.015058,1
4.297339,-22.094105,0.970906,1
4.309580,-21.794090,0.988896,1
4.320532,-21.494075,1.014719,1
4.332465,-21.194060,1.005491,1
4.343322,-20.894045,0.993710,1
4.354302,-20.594030,0.952903,1
4.364635,-20.294015,0.925974,1
4.375771,-19.994000,0.904193,1
4.386710,-19.693985,0.897543,1
4.397585,-19.393970,0.908889,1
4.408593,-19.093955,0.894843,1
4.419660,-18.793940,0.888027,1
4.430632,-18.493925,0.836139,1
4.442464,-18.193910,0.821139,1
4.454296,-17.893895,0.821406,1
4.464675,-17.593880,0.862929,1
4.475634,-17.293865,0.813138,1
4.486635,-16.993850,0.822381,1
4.497687,-16.693835,0.754749,1
4.508209,-16.393820,0.741988,1
4.519169,-16.093805,0.728826,1
4.530240,-15.793790,0.747810,1
4.541173,-15.493775,0.757941,1
4.552147,-15.193760,0.718770,1
4.563283,-14.893745,0.697541,1
4.575349,-14.593730,0.636910,1
4.586294,-14.293715,0.626833,1
4.597145,-13.993700,0.658281,1
4.608218,-13.693685,0.654547,1
4.619165,-13.393670,0.663267,1
4.630260,-13.093655,0.626013,1
4.641495,-12.793640,0.588163,1
4.652180,-12.493625,0.550485,1
4.663195,-12.193610,0.551958,1
4.674153,-11.893595,0.557033,1
4.685186,-11.593580,0.585270,1
4.697159,-11.293565,0.550954,1
4.709348,-10.993550,0.525279,1
4.719933,-10.693535,0.465493,1
4.730877,-10.393520,0.464119,1
4.741864,-10.093505,0.457757,1
4.753038,-9.793490,0.502097,1
4.763976,-9.493475,0.494500,1
4.774717,-9.193460,0.464103,1
4.785225,-8.893445,0.430618,1
4.796214,-8.593430,0.351064,1
4.807189,-8.293415,0.354472,1
4.818214,-7.993400,0.385977,1
4.829438,-7.693385,0.411841,1
4.840297,-7.393370,0.379737,1
4.851217,-7.093355,0.316629,1
4.862254,-6.793340,0.347171,1
4.873256,-6.493325,0.257946,1
4.885780,-6.193310,0.303191,1
4.898372,-5.893295,0.287910,1
4.909260,-5.593280,0.322534,1
4.920241,-5.293265,0.286937,1
4.930332,-4.993250,0.232514,1
4.941823,-4.693235,0.183155,1
4.953855,-4.393220,0.215286,1
4.965036,-4.093205,0.194787,1
4.975670,-3.793190,0.218367,1
4.986647,-3.493175,0.205377,1
4.997691,-3.193160,0.135890,1
5.008712,-2.893145,0.103067,1
5.020748,-2.593130,0.127034,1
5.032279,-2.293115,0.126999,1
5.042665,-1.993100,0.111404,1
5.053673,-1.693085,0.134917,1
5.064657,-1.393070,0.093238,1
5.075778,-1.093055,0.058318,1
5.087962,-0.793040,0.024080,1
5.098671,-0.493025,0.007619,1
5.120696,0.000000,0.000000,2
5.131717,0.000000,0.000000,2
5.143544,0.000000,0.000000,2
5.153639,0.000000,0.000000,2
5.164630,0.000000,0.000000,2
5.175841,0.000000,0.000000,2
5.186725,0.000000,0.000000,2
5.197903,0.000000,0.000000,2
5.208663,0.000000,0.000000,2
5.219638,0.000000,0.000000,2
5.230674,0.000000,0.000000,2
5.241715,0.000000,0.000000,2
5.253980,0.000000,0.000000,2
5.265589,0.000000,0.000000,2
5.275639,0.000000,0.000000,2
5.286652,0.000000,0.000000,2
5.297678,0.000000,0.000000,2
5.310287,0.000000,0.000000,2
5.320683,0.000000,0.000000,2
5.332170,0.000000,0.000000,2
5.342808,0.000000,0.000000,2
5.353656,0.000000,0.000000,2
5.363741,0.000000,0.000000,2
5.374814,0.000000,0.000000,2
5.385911,0.000000,0.000000,2
5.396781,0.000000,0.000000,2
5.407515,0.000000,0.000000,2
5.418384,0.000000,0.000000,2
5.428827,0.000000,0.000000,2
5.438981,0.000000,0.000000,2
5.450248,0.000000,0.000000,2
5.461647,0.000000,0.000000,2
5.472467,0.000000,0.000000,2
5.483163,0.000000,0.000000,2
5.494180,0.000000,0.000000,2
5.505026,0.000000,0.000000,2
5.516044,0.000000,0.000000,2
5.529518,0.000000,0.000000,2
5.540461,0.000000,0.000000,2
5.551453,0.000000,0.000000,2
5.562492,0.000000,0.000000,2
5.575048,0.000000,0.000000,2
5.586802,0.000000,0.000000,2
5.597610,0.000000,0.000000,2
5.608573,0.000000,0.000000,2
5.619530,0.000000,0.000000,2
5.630581,0.000000,0.000000,2
5.641094,0.000000,0.000000,2
5.651907,0.000000,0.000000,2
5.662308,0.000000,0.000000,2
5.672555,0.000000,0.000000,2
5.682968,0.000000,0.000000,2
5.694140,0.000000,0.000000,2
5.705236,0.000000,0.000000,2
5.715330,0.000000,0.000000,2
5.726368,0.000000,0.000000,2
5.736763,0.000000,0.000000,2
5.747678,0.000000,0.000000,2
5.758682,0.000000,0.000000,2
5.769473,0.000000,0.000000,2
5.779768,0.000000,0.000000,2
5.790022,0.000000,0.000000,2
5.801112,0.000000,0.000000,2
5.811634,0.000000,0.000000,2
5.822421,0.000000,0.000000,2
5.833404,0.000000,0.000000,2
5.843701,0.000000,0.000000,2
5.854732,0.000000,0.000000,2
5.864790,0.000000,0.000000,2
5.877270,0.000000,0.000000,2
5.889444,0.000000,0.000000,2
5.899768,0.000000,0.000000,2
5.910552,0.000000,0.000000,2
5.921548,0.000000,0.000000,2
5.931846,0.000000,0.000000,2
5.942976,0.000000,0.000000,2
5.954155,0.000000,0.000000,2
5.964244,0.000000,0.000000,2
5.974385,0.000000,0.000000,2
5.985341,0.000000,0.000000,2
5.996014,0.000000,0.000000,2
6.007213,0.000000,0.000000,2
6.018304,0.000000,0.000000,2
6.028750,0.000000,0.000000,2
6.039528,0.000000,0.000000,2
6.050520,0.000000,0.000000,2
6.061267,0.000000,0.000000,2
6.072424,0.000000,0.000000,2
6.083089,0.000000,0.000000,2
6.094203,0.000000,0.000000,2
6.105095,0.000000,0.000000,2
6.115191,0.000000,0.000000,2
6.128256,0.000000,0.000000,2
6.139309,0.000000,0.000000,2
6.150510,0.000000,0.000000,2
6.161225,0.000000,0.000000,2
6.172522,0.000000,0.000000,2
6.183194,0.000000,0.000000,2
6.196397,0.000000,0.000000,2
6.208457,0.000000,0.000000,2
6.219251,0.000000,0.000000,2
6.230115,0.000000,0.000000,2
6.240710,0.000000,0.000000,2
6.252630,0.000000,0.000000,2
6.263603,0.000000,0.000000,2
6.275691,0.000000,0.000000,2
6.286174,0.000000,0.000000,2
6.297302,0.000000,0.000000,2
6.308160,0.000000,0.000000,2
6.318629,0.000000,0.000000,2
6.329930,0.000000,0.000000,2
6.340621,0.000000,0.000000,2
6.351644,0.000000,0.000000,2
6.362682,0.000000,0.000000,2
6.373694,0.000000,0.000000,2
6.386066,0.000000,0.000000,2
6.396687,0.000000,0.000000,2
6.407686,0.000000,0.000000,2
6.418245,0.000000,0.000000,2
6.429210,0.000000,0.000000,2
6.440350,0.000000,0.000000,2
6.451927,0.000000,0.000000,2
6.462428,0.000000,0.000000,2
6.473326,0.000000,0.000000,2
6.484323,0.000000,0.000000,2
6.495346,0.000000,0.000000,2
6.507603,0.000000,0.000000,2
6.518553,0.000000,0.000000,2
6.529853,0.000000,0.000000,2
6.540340,0.000000,0.000000,2
6.551341,0.000000,0.000000,2
6.562312,0.000000,0.000000,2
6.573517,0.000000,0.000000,2
6.585803,0.000000,0.000000,2
6.596338,0.000000,0.000000,2
6.607372,0.000000,0.000000,2
6.618376,0.000000,0.000000,2
6.629410,0.000000,0.000000,2
6.641265,0.000000,0.000000,2
6.651376,0.000000,0.000000,2
6.662355,0.000000,0.000000,2
6.673375,0.000000,0.000000,2
6.684419,0.000000,0.000000,2
6.695783,0.000000,0.000000,2
6.706709,0.000000,0.000000,2
6.717439,0.000000,0.000000,2
6.728415,0.000000,0.000000,2
6.739335,0.000000,0.000000,2
6.750389,0.000000,0.000000,2
6.761676,0.000000,0.000000,2
6.774084,0.000000,0.000000,2
6.784927,0.000000,0.000000,2
6.795890,0.000000,0.000000,2
6.806036,0.000000,0.000000,2
6.817764,0.000000,0.000000,2
6.829327,0.000000,0.000000,2
6.840172,0.000000,0.000000,2
6.851130,0.000000,0.000000,2
6.861322,0.000000,0.000000,2
6.872341,0.000000,0.000000,2
6.883971,0.000000,0.000000,2
6.894603,0.000000,0.000000,2
6.905619,0.000000,0.000000,2
6.916676,0.000000,0.000000,2
6.927675,0.000000,0.000000,2
6.938599,0.000000,0.000000,2
6.949190,0.000000,0.000000,2
6.959868,0.000000,0.000000,2
6.970849,0.000000,0.000000,2
6.981865,0.000000,0.000000,2
6.992809,0.000000,0.000000,2
7.005325,0.000000,0.000000,2
7.016738,0.000000,0.000000,2
7.027677,0.000000,0.000000,2
7.038642,0.000000,0.000000,2
7.049765,0.000000,0.000000,2
7.060648,0.000000,0.000000,2
7.071725,0.000000,0.000000,2
7.083781,0.000000,0.000000,2
7.094698,0.000000,0.000000,2
7.105215,0.000000,0.000000,2
7.116191,0.000000,0.000000,2
7.127617,0.000000,0.000000,2
7.138362,0.000000,0.000000,2
7.149650,0.000000,0.000000,2
7.160467,0.000000,0.000000,2
7.171382,0.000000,0.000000,2
7.181753,0.000000,0.000000,2
7.193241,0.000000,0.000000,2
7.204843,0.000000,0.000000,2
7.215897,0.000000,0.000000,2
7.226088,0.000000,0.000000,2
7.236341,0.000000,0.000000,2
7.246733,0.000000,0.000000,2
7.259176,0.000000,0.000000,2
7.270783,0.000000,0.000000,2
7.281498,0.000000,0.000000,2
7.292598,0.000000,0.000000,2
7.302693,0.000000,0.000000,2
7.313031,0.000000,0.000000,2
7.324092,0.000000,0.000000,2
7.334784,0.000000,0.000000,2
7.345869,0.000000,0.000000,2
7.355977,0.000000,0.000000,2
7.366067,0.000000,0.000000,2
7.377790,0.000000,0.000000,2
